#{"t_start": 1771500540.2908065, "env_id": "commonroad-v1"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
-23.209706,7,26.70578,0,0,1,0,0
-164.105458,5,28.638018,0,0,1,0,0
774.795841,33,36.418437,0,0,1,0,0
331.878725,1,37.18902,0,0,0,0,1
324.129458,1,38.511587,0,0,1,0,0
331.931001,1,39.109889,0,0,0,0,1
-109.154085,2,39.450303,0,0,1,0,0
331.997287,1,40.24274,0,0,0,0,1
331.826743,1,41.0268,0,0,0,0,1
331.997286,1,41.287119,0,0,0,0,1
-102.010868,2,41.856758,1,0,0,0,0
331.846565,1,43.177055,0,0,1,0,0
2935.887863,106,46.736979,0,0,1,0,0
519.675739,23,67.117145,0,0,1,0,0
331.931003,1,67.468776,0,0,0,0,1
590.782407,27,69.500371,1,0,0,0,0
-84.229912,3,69.80571,1,0,0,0,0
331.828618,1,70.151059,0,0,0,0,1
331.930999,1,70.411416,0,0,0,0,1
340.824241,16,71.497209,0,0,1,0,0
555.003886,25,73.840654,1,0,0,0,0
-115.883842,3,74.494188,0,0,1,0,0
331.931,1,74.814268,0,0,0,0,1
331.826743,1,75.110733,0,0,0,0,1
324.129458,1,75.403409,0,0,1,0,0
38.154153,6,76.612643,0,0,1,0,0
331.909692,1,77.846155,0,0,1,0,0
582.246362,25,78.419176,0,0,1,0,0
163.347531,10,84.71122,0,0,1,0,0
124.01916,8,85.595411,0,0,1,0,0
-99.639744,7,86.372586,0,0,1,0,0
80.911138,9,87.471772,0,0,1,0,0
331.86341,1,87.782251,0,0,0,0,1
-91.064739,2,88.210002,0,0,1,0,0
331.85283,1,88.832628,0,0,1,0,0
503.61232,24,91.378671,0,0,1,0,0
331.997288,1,91.601904,0,0,0,0,1
-141.868366,5,91.80638,0,0,1,0,0
489.024564,22,92.470508,0,0,1,0,0
709.292168,28,94.606315,0,0,1,0,0
457.208768,23,96.381183,0,0,1,0,0
158.803759,9,97.619493,0,0,1,0,0
484.057257,31,105.05084,0,0,1,0,0
-113.691774,3,105.472967,0,0,1,0,0
-130.271008,6,106.141631,0,0,1,0,0
2078.925697,81,112.988485,0,0,1,0,0
997.586864,43,121.58153,0,0,1,0,0
54.737268,11,122.26175,0,0,1,0,0
331.909688,1,122.578291,0,0,1,0,0
469.40531,21,124.02392,0,0,1,0,0
331.778864,1,124.248843,0,0,0,0,1
331.938688,1,125.029279,0,0,0,0,1
-108.914232,2,125.215068,0,0,1,0,0
331.881731,1,125.384976,0,0,1,0,0
331.951482,1,125.675637,0,0,0,0,1
331.968284,1,126.374001,0,0,0,0,1
331.888919,1,126.725003,0,0,1,0,0
-134.477937,6,127.401355,0,0,1,0,0
91.469424,7,127.517199,0,0,1,0,0
758.90343,26,129.742476,0,0,1,0,0
331.863412,1,129.82654,0,0,0,0,1
331.930999,1,130.111758,0,0,0,0,1
331.826742,1,130.437065,0,0,0,0,1
331.909691,1,130.71118,0,0,1,0,0
-129.081387,6,130.885226,0,0,1,0,0
672.314331,38,132.261504,0,0,1,0,0
331.930999,1,132.489834,0,0,0,0,1
331.826742,1,132.889977,0,0,0,0,1
-117.232601,4,133.036207,0,0,1,0,0
331.931002,1,133.069786,0,0,0,0,1
331.888922,1,133.158589,0,0,1,0,0
-136.314723,5,133.774404,0,0,1,0,0
421.990654,18,135.332955,0,0,1,0,0
331.939542,1,135.767337,0,0,0,0,1
331.859288,1,136.608032,1,0,0,0,0
213.719734,10,137.254788,0,0,1,0,0
608.80752,26,139.503529,0,0,1,0,0
331.931,1,139.632545,0,0,0,0,1
331.800055,1,139.796761,0,0,0,0,1
303.182501,15,145.766455,0,0,1,0,0
331.778864,1,146.119975,0,0,0,0,1
331.778862,1,146.325594,0,0,0,0,1
216.54605,12,148.429247,0,0,1,0,0
331.930998,1,148.932363,0,0,0,0,1
324.129457,1,149.066973,0,0,1,0,0
331.800053,1,149.317659,0,0,0,0,1
331.828619,1,149.657338,0,0,0,0,1
331.88892,1,150.002749,0,0,1,0,0
589.658585,24,150.559845,1,0,0,0,0
1102.179811,39,151.46473,0,0,1,0,0
331.909688,1,151.506885,0,0,1,0,0
292.773595,14,152.073963,0,0,1,0,0
421.601682,20,154.004037,1,0,0,0,0
331.826742,1,154.318211,0,0,0,0,1
324.129458,1,154.66494,0,0,1,0,0
331.997291,1,154.735826,0,0,0,0,1
726.252337,29,157.862616,0,0,1,0,0
712.902826,28,481.0495,0,0,1,0,0
331.778863,1,481.25557,0,0,0,0,1
120.349118,14,487.9415,0,0,1,0,0
331.778864,1,488.077519,0,0,0,0,1
331.88173,1,488.39936,0,0,1,0,0
331.800056,1,488.626234,0,0,0,0,1
226.4429,13,490.449821,0,0,1,0,0
