#{"t_start": 1769667604.4221568, "env_id": "commonroad-v1-safe"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
251.99729,1,42.917266,0,0,0,0,1
-1012.252221,18,78.215404,1,0,0,0,0
431.846564,1,148.139131,0,0,1,0,0
431.826742,1,170.211933,0,0,0,0,1
-441.419669,4,242.061982,0,0,1,0,0
-812.15006,17,269.11605,1,0,0,0,0
251.778864,1,291.124595,0,0,0,0,1
251.778864,1,312.74785,0,0,0,0,1
-610.296399,6,388.088001,0,0,1,0,0
251.778864,1,409.751852,0,0,0,0,1
251.778864,1,431.574144,0,0,0,0,1
251.773494,1,502.284322,0,0,1,0,0
251.93954,1,524.53284,0,0,0,0,1
251.99729,1,546.641231,0,0,0,0,1
251.859287,1,574.001197,1,0,0,0,0
-1374.428505,36,611.696194,0,0,0,0,1
-1766.982509,31,644.542631,0,0,1,0,0
431.826743,1,666.887253,0,0,0,0,1
251.826743,1,688.672622,0,0,0,0,1
-262.16604,2,710.391969,1,0,0,0,0
-206.058199,1,749.262874,0,0,1,0,0
-1371.697869,23,775.440104,1,0,0,0,0
431.991637,1,845.209968,0,0,0,0,1
-263.624762,13,930.244806,0,0,0,0,1
421.881733,1,999.722325,0,0,1,0,0
421.909691,1,1069.455047,0,0,1,0,0
251.93954,1,1091.359777,0,0,0,0,1
431.939541,1,1113.092739,0,0,0,0,1
-683.630584,16,1221.762305,0,0,1,0,0
431.846563,1,1290.357257,0,0,1,0,0
-1294.364112,23,1398.120118,0,0,1,0,0
-377.569404,19,1430.588198,0,0,1,0,0
421.90969,1,1501.304976,0,0,1,0,0
251.859287,1,1528.067428,1,0,0,0,0
424.129458,1,1598.478641,0,0,1,0,0
-952.828719,15,1688.85568,0,0,1,0,0
-209.922976,1,1759.568763,0,0,1,0,0
251.93954,1,1781.129412,0,0,0,0,1
251.859287,1,1807.785572,1,0,0,0,0
-2949.703747,53,1892.462386,0,0,1,0,0
251.778864,1,1913.924577,0,0,0,0,1
431.90969,1,1982.971187,0,0,1,0,0
251.778864,1,2004.674899,0,0,0,0,1
431.863409,1,2026.909222,0,0,0,0,1
-2013.083268,38,2057.242883,0,0,1,0,0
-865.527618,13,2121.915373,0,0,1,0,0
251.93954,1,2143.928889,0,0,0,0,1
-1562.229379,29,2171.03501,1,0,0,0,0
-989.048202,38,2216.569787,0,0,1,0,0
251.93954,1,2237.931708,0,0,0,0,1
-2151.797615,35,2278.644912,0,0,1,0,0
431.826743,1,2301.119296,0,0,0,0,1
244.129458,1,2370.421692,0,0,1,0,0
-2291.557149,44,2471.490908,1,0,0,0,0
