#{"t_start": 1771234582.754759, "env_id": "commonroad-v1-safe"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
65.100089,14,50.653505,0,0,1,0,0
-140.701892,5,130.958565,1,0,0,0,0
15.105766,9,134.463788,0,0,1,0,0
-140.999267,1,138.995353,1,0,0,0,0
28.826743,1,139.87683,0,0,0,0,1
740.164301,33,168.87211,0,0,1,0,0
34.637882,2,170.544855,0,0,1,0,0
37.909529,1,170.972706,0,0,0,0,1
471.129458,1,171.602681,0,0,1,0,0
471.129458,1,172.409967,0,0,1,0,0
291.121827,19,175.882443,0,0,1,0,0
28.93954,1,176.846212,0,0,0,0,1
37.826742,1,177.45774,0,0,0,0,1
1051.100668,49,198.173591,0,0,1,0,0
465.728887,27,208.173518,0,0,1,0,0
299.432343,18,211.692451,0,0,1,0,0
471.129458,1,212.041835,0,0,1,0,0
281.939445,16,226.460169,0,0,1,0,0
127.655316,10,231.810761,0,0,1,0,0
28.826743,1,232.254422,0,0,0,0,1
37.931002,1,233.105466,0,0,0,0,1
37.931003,1,233.633026,0,0,0,0,1
873.976773,38,256.642537,0,0,1,0,0
-194.998379,9,258.427565,0,0,1,0,0
61.927319,2,260.486074,0,0,1,0,0
28.931002,1,260.931129,0,0,0,0,1
28.826743,1,261.450661,0,0,0,0,1
-199.825534,5,262.909855,0,0,1,0,0
-133.384667,4,267.424332,0,0,1,0,0
1452.741838,58,303.757876,0,0,1,0,0
37.800053,1,304.24518,0,0,0,0,1
707.238748,31,321.048839,0,0,1,0,0
-140.999267,1,323.971336,1,0,0,0,0
28.931002,1,329.046885,0,0,0,0,1
1074.191514,42,362.454013,1,0,0,0,0
1099.495919,49,390.212832,0,0,1,0,0
672.519993,38,399.986678,0,0,1,0,0
28.826743,1,400.579306,0,0,0,0,1
235.622595,12,406.275783,0,0,1,0,0
394.737479,26,438.258862,0,0,1,0,0
37.997289,1,439.166733,0,0,0,0,1
28.82862,1,439.772428,0,0,0,0,1
811.563891,32,451.556881,0,0,1,0,0
825.9355,32,469.402886,0,0,1,0,0
-140.999267,1,472.29303,1,0,0,0,0
158.024694,14,475.976248,0,0,1,0,0
37.931001,1,476.347714,0,0,0,0,1
28.800053,1,476.773701,0,0,0,0,1
613.254612,10,479.082952,0,0,0,0,1
177.76212,11,483.789263,1,0,0,0,0
-140.999267,1,486.650871,1,0,0,0,0
87.534523,14,489.311665,0,0,1,0,0
