#{"t_start": 1771178844.8134782, "env_id": "commonroad-v1-safe"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
328.198505,20,48.788702,0,0,1,0,0
916.520874,42,126.176244,0,0,1,0,0
328.863408,1,126.960204,0,0,0,0,1
337.778864,1,127.795991,0,0,0,0,1
328.881733,1,128.465978,0,0,1,0,0
-6.846413,8,130.910894,0,0,1,0,0
328.931002,1,131.870682,0,0,0,0,1
228.811263,11,141.808181,0,0,1,0,0
612.290096,28,146.657173,0,0,1,0,0
-97.103247,2,149.469172,0,0,1,0,0
337.85283,1,149.822786,0,0,1,0,0
321.129458,1,151.414559,0,0,1,0,0
131.50054,9,156.378034,0,0,1,0,0
328.931002,1,156.844322,0,0,0,0,1
337.93954,1,157.774883,0,0,0,0,1
71.484055,11,160.925043,0,0,1,0,0
733.102116,27,172.813674,0,0,1,0,0
28.960885,10,176.769328,0,0,1,0,0
337.997289,1,177.601793,0,0,0,0,1
337.938688,1,178.167861,0,0,0,0,1
1197.630503,48,195.054658,0,0,1,0,0
337.778862,1,195.616969,0,0,0,0,1
840.051967,47,203.578716,0,0,1,0,0
228.644374,14,211.050592,0,0,1,0,0
436.947122,19,217.663399,0,0,1,0,0
328.826743,1,218.090556,0,0,0,0,1
-124.087411,3,221.431328,0,0,1,0,0
328.800053,1,221.81814,0,0,0,0,1
283.287265,21,226.140991,0,0,1,0,0
658.575611,26,237.387178,0,0,1,0,0
258.172625,14,249.127937,0,0,1,0,0
337.931001,1,249.531076,0,0,0,0,1
328.99729,1,249.994109,0,0,0,0,1
328.881733,1,250.515103,0,0,1,0,0
321.129458,1,250.886556,0,0,1,0,0
-33.76104,7,252.582916,0,0,1,0,0
65.100089,14,255.115324,0,0,1,0,0
846.004288,41,271.40764,0,0,1,0,0
337.800053,1,271.857397,0,0,0,0,1
35.552469,10,275.583019,0,0,1,0,0
328.82862,1,276.061633,0,0,0,0,1
337.997289,1,276.615313,0,0,0,0,1
-140.950481,1,279.784767,1,0,0,0,0
863.332513,38,303.337798,0,0,1,0,0
337.93954,1,303.789822,0,0,0,0,1
309.162388,13,314.133305,0,0,1,0,0
631.505078,10,324.957212,0,0,0,0,1
449.732215,22,329.768478,0,0,1,0,0
328.881733,1,330.222173,0,0,1,0,0
589.123465,35,339.831341,0,0,1,0,0
-120.06993,1,363.887906,0,0,1,0,0
328.99729,1,364.254004,0,0,0,0,1
337.881734,1,364.645203,0,0,1,0,0
328.968284,1,365.486759,0,0,0,0,1
328.778864,1,366.09151,0,0,0,0,1
96.185218,12,369.399856,0,0,1,0,0
337.881734,1,369.901781,0,0,1,0,0
-153.39044,3,374.409098,0,0,1,0,0
259.171895,18,388.101801,0,0,1,0,0
284.097364,14,391.689332,0,0,1,0,0
72.948719,11,393.805852,0,0,1,0,0
-154.367554,6,397.495774,0,0,1,0,0
337.939541,1,397.858326,0,0,0,0,1
328.93954,1,398.439259,0,0,0,0,1
328.859287,1,399.125079,1,0,0,0,0
321.129458,1,399.553206,0,0,1,0,0
-149.246586,6,403.347169,0,0,1,0,0
328.881733,1,403.794181,0,0,1,0,0
184.049177,10,411.581931,0,0,1,0,0
337.828619,1,412.090722,0,0,0,0,1
-99.123607,2,412.78004,0,0,1,0,0
328.931002,1,417.528554,0,0,0,0,1
321.129458,1,418.032523,0,0,1,0,0
67.246895,11,421.061347,0,0,1,0,0
811.146943,33,453.724762,0,0,1,0,0
176.614807,10,465.687387,0,0,1,0,0
428.589168,28,479.409016,0,0,1,0,0
328.778864,1,479.901286,0,0,0,0,1
-132.922976,1,482.085142,0,0,1,0,0
328.826743,1,482.516315,0,0,0,0,1
337.881734,1,483.116668,0,0,1,0,0
-108.16604,2,483.794289,1,0,0,0,0
1331.541902,60,506.033634,0,0,1,0,0
337.991636,1,506.628566,0,0,0,0,1
111.957272,8,514.884281,0,0,1,0,0
337.828619,1,515.207978,0,0,0,0,1
-122.114335,7,518.170236,0,0,1,0,0
453.373147,23,529.185464,0,0,1,0,0
328.846564,1,529.677198,0,0,1,0,0
328.800053,1,530.162973,0,0,0,0,1
680.70995,31,543.311417,0,0,1,0,0
65.104232,11,546.130566,0,0,1,0,0
328.881733,1,546.660484,0,0,1,0,0
13.378728,9,548.446041,0,0,1,0,0
560.080561,36,555.036635,0,0,1,0,0
1281.537065,54,567.070816,0,0,1,0,0
285.482527,14,580.081707,0,0,1,0,0
381.716848,27,590.723336,0,0,1,0,0
328.826743,1,591.256819,0,0,0,0,1
337.778865,1,591.590406,0,0,0,0,1
-97.103247,2,593.323961,0,0,1,0,0
78.420188,7,601.295576,0,0,1,0,0
-123.740459,1,602.041486,0,0,1,0,0
328.800053,1,602.408794,0,0,0,0,1
372.735225,19,608.406528,1,0,0,0,0
525.157767,33,614.05432,0,0,1,0,0
696.014208,40,620.769692,0,0,1,0,0
364.746989,18,626.281432,0,0,1,0,0
688.550387,29,641.672089,1,0,0,0,0
328.800053,1,642.081193,0,0,0,0,1
337.931002,1,642.7021,0,0,0,0,1
400.320265,26,647.412364,0,0,1,0,0
92.856285,14,649.803936,0,0,1,0,0
337.99729,1,650.250849,0,0,0,0,1
64.702405,11,653.321415,0,0,1,0,0
328.93954,1,653.958363,0,0,0,0,1
328.859287,1,654.64985,1,0,0,0,0
328.826743,1,654.960181,0,0,0,0,1
490.83407,26,658.27359,0,0,1,0,0
-126.996455,3,660.783534,0,0,1,0,0
521.272795,31,664.817651,0,0,1,0,0
328.778864,1,665.358721,0,0,0,0,1
330.129458,1,665.967667,0,0,1,0,0
328.93954,1,666.487964,0,0,0,0,1
328.888918,1,666.993958,0,0,1,0,0
331.399167,18,681.409194,0,0,1,0,0
328.826743,1,681.853329,0,0,0,0,1
328.773494,1,682.548268,0,0,1,0,0
328.846564,1,683.013633,0,0,1,0,0
328.99729,1,683.524942,0,0,0,0,1
328.938687,1,683.899138,0,0,0,0,1
314.408047,15,693.604526,0,0,1,0,0
589.334095,33,699.676348,0,0,1,0,0
328.846564,1,699.995582,0,0,1,0,0
735.722519,30,713.110035,0,0,1,0,0
167.393412,15,716.244616,0,0,1,0,0
930.568403,39,729.624042,0,0,1,0,0
337.939542,1,729.962567,0,0,0,0,1
328.93954,1,730.528374,0,0,0,0,1
-121.146332,6,732.406363,0,0,1,0,0
-9.626156,8,733.623661,0,0,1,0,0
468.337757,23,743.033481,0,0,1,0,0
328.800053,1,743.504977,0,0,0,0,1
185.825498,10,752.360494,0,0,1,0,0
328.773494,1,752.813522,0,0,1,0,0
328.826743,1,753.104246,0,0,0,0,1
-237.112788,12,755.25642,0,0,1,0,0
328.920203,1,755.859074,0,0,0,0,1
328.778864,1,756.274707,0,0,0,0,1
328.846564,1,756.570741,0,0,1,0,0
328.99729,1,757.029883,0,0,0,0,1
328.778864,1,757.411722,0,0,0,0,1
337.931001,1,757.905289,0,0,0,0,1
328.93954,1,758.230193,0,0,0,0,1
328.826743,1,758.576426,0,0,0,0,1
337.968283,1,759.199697,0,0,0,0,1
1312.563648,56,770.295148,0,0,1,0,0
-137.765061,5,772.735023,0,0,1,0,0
834.521966,45,779.529667,0,0,1,0,0
328.859287,1,779.78963,1,0,0,0,0
89.533192,8,781.510239,0,0,1,0,0
-124.461599,5,784.472554,0,0,1,0,0
328.93954,1,784.742308,0,0,0,0,1
337.863409,1,785.199968,0,0,0,0,1
337.93954,1,785.801644,0,0,0,0,1
337.881733,1,786.309417,0,0,1,0,0
337.931003,1,786.843184,0,0,0,0,1
328.968284,1,787.222234,0,0,0,0,1
337.931001,1,792.378702,0,0,0,0,1
337.778866,1,792.871372,0,0,0,0,1
-188.764995,5,795.430154,0,0,1,0,0
328.931002,1,795.694274,0,0,0,0,1
202.504872,15,798.084795,1,0,0,0,0
787.764369,34,807.188377,0,0,1,0,0
337.881734,1,807.630109,0,0,1,0,0
337.863408,1,808.112721,0,0,0,0,1
1162.055418,56,824.932667,0,0,1,0,0
328.931002,1,825.414249,0,0,0,0,1
730.02629,31,1168.155674,0,0,1,0,0
328.778864,1,1168.665899,0,0,0,0,1
321.129458,1,1169.349943,0,0,1,0,0
-128.801588,4,1172.468405,0,0,1,0,0
751.195914,36,1202.32812,0,0,1,0,0
328.800053,1,1202.737149,0,0,0,0,1
337.888919,1,1203.265123,0,0,1,0,0
337.778864,1,1203.637567,0,0,0,0,1
-198.781342,5,1205.00053,0,0,1,0,0
328.863408,1,1205.428236,0,0,0,0,1
119.440482,12,1208.772383,0,0,1,0,0
-126.992574,3,1210.345206,1,0,0,0,0
337.881734,1,1210.79898,0,0,1,0,0
328.846564,1,1211.069125,0,0,1,0,0
-125.449751,5,1213.908636,0,0,1,0,0
337.997289,1,1214.258051,0,0,0,0,1
272.009743,19,1217.615513,0,0,1,0,0
689.749607,33,1223.269676,0,0,1,0,0
432.77467,19,1227.471544,0,0,1,0,0
328.931002,1,1227.8912,0,0,0,0,1
328.881733,1,1228.570598,0,0,1,0,0
-64.302949,6,1233.278629,0,0,1,0,0
405.325304,23,1242.792628,0,0,1,0,0
328.826743,1,1243.091885,0,0,0,0,1
337.828619,1,1243.605694,0,0,0,0,1
328.93954,1,1243.964584,0,0,0,0,1
448.332492,35,1275.877198,0,0,1,0,0
746.001321,34,1283.28163,0,0,1,0,0
90.326615,8,1284.892606,0,0,1,0,0
245.313459,12,1294.202714,0,0,1,0,0
328.944338,1,1294.852475,0,0,0,0,1
328.931002,1,1295.392696,0,0,0,0,1
-197.763593,7,1296.651335,0,0,1,0,0
-8.876916,8,1297.825868,0,0,1,0,0
-69.437768,7,1302.215431,0,0,1,0,0
328.778864,1,1302.521602,0,0,0,0,1
337.778863,1,1302.868028,0,0,0,0,1
337.93954,1,1303.21551,0,0,0,0,1
-114.565513,5,1305.694836,0,0,1,0,0
837.555135,32,1318.605972,0,0,1,0,0
337.800054,1,1319.005273,0,0,0,0,1
337.93954,1,1319.338124,0,0,0,0,1
329.962891,17,1325.034329,1,0,0,0,0
200.267523,16,1329.072535,0,0,1,0,0
8.222805,9,1337.46479,0,0,1,0,0
328.859287,1,1337.78045,1,0,0,0,0
328.93954,1,1338.421761,0,0,0,0,1
328.93954,1,1338.860003,0,0,0,0,1
650.810093,31,1345.913218,0,0,1,0,0
675.68789,27,1350.951872,0,0,1,0,0
328.888918,1,1351.278546,0,0,1,0,0
328.82862,1,1351.678892,0,0,0,0,1
406.81738,20,1355.461026,0,0,1,0,0
-44.842087,4,1356.622147,0,0,1,0,0
643.27228,31,1364.181791,0,0,1,0,0
-132.922976,1,1366.172493,0,0,1,0,0
430.287684,18,1370.28795,0,0,1,0,0
328.863408,1,1370.666817,0,0,0,0,1
2.919803,9,1374.529972,0,0,1,0,0
328.859287,1,1374.881745,1,0,0,0,0
328.80893,1,1375.385408,0,0,0,0,1
328.863408,1,1375.881824,0,0,0,0,1
337.939539,1,1376.252446,0,0,0,0,1
328.873836,1,1376.915911,0,0,0,0,1
328.800053,1,1377.303383,0,0,0,0,1
330.129458,1,1377.977595,0,0,1,0,0
213.989655,14,1385.792151,0,0,1,0,0
480.831741,25,1390.834177,0,0,1,0,0
-137.606449,5,1392.707956,0,0,1,0,0
328.82862,1,1393.032965,0,0,0,0,1
-127.15439,3,1394.594211,1,0,0,0,0
328.826743,1,1394.897998,0,0,0,0,1
-125.799753,5,1397.479829,0,0,1,0,0
337.863407,1,1397.736501,0,0,0,0,1
328.888918,1,1398.12619,0,0,1,0,0
337.828619,1,1398.67362,0,0,0,0,1
337.826743,1,1399.532805,0,0,0,0,1
373.031344,16,1415.887083,0,0,1,0,0
328.826743,1,1416.214243,0,0,0,0,1
328.931002,1,1416.889639,0,0,0,0,1
328.881733,1,1417.36659,0,0,1,0,0
328.931002,1,1417.687263,0,0,0,0,1
337.852828,1,1417.94943,0,0,1,0,0
328.968284,1,1418.33294,0,0,0,0,1
-199.44384,5,1419.285113,0,0,1,0,0
538.207112,27,1425.820739,1,0,0,0,0
725.365365,34,1441.85332,0,0,1,0,0
-140.722244,5,1445.021029,1,0,0,0,0
382.526511,18,1456.045573,1,0,0,0,0
337.800052,1,1456.510166,0,0,0,0,1
-6.814637,8,1457.673103,0,0,1,0,0
864.363193,48,1466.898243,0,0,1,0,0
328.846564,1,1467.258669,0,0,1,0,0
521.967684,30,1474.75756,0,0,1,0,0
337.931001,1,1475.136614,0,0,0,0,1
328.968284,1,1475.491078,0,0,0,0,1
638.420329,34,1482.935049,0,0,1,0,0
337.800054,1,1483.328729,0,0,0,0,1
328.863408,1,1483.728589,0,0,0,0,1
328.831123,1,1484.217926,0,0,0,0,1
510.304111,22,1487.81117,0,0,1,0,0
756.057826,32,1494.165723,0,0,1,0,0
328.931002,1,1494.49688,0,0,0,0,1
