#{"t_start": 1771110201.4581327, "env_id": "commonroad-v1-safe"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
381.500534,16,576.715453,0,0,1,0,0
-105.475682,3,696.412523,0,0,1,0,0
328.881733,1,698.532442,0,0,1,0,0
1216.983019,51,746.841598,1,0,0,0,0
682.751118,31,774.420374,0,0,1,0,0
215.463272,14,1097.003167,0,0,1,0,0
328.93954,1,1098.307739,0,0,0,0,1
328.800053,1,1099.335637,0,0,0,0,1
-248.337968,12,1127.483809,0,0,1,0,0
87.534523,14,1131.701496,0,0,1,0,0
337.800053,1,1132.22032,0,0,0,0,1
328.968284,1,1133.34824,0,0,0,0,1
-129.071402,1,1135.439975,0,0,1,0,0
328.778864,1,1136.544368,0,0,0,0,1
328.826743,1,1137.527893,0,0,0,0,1
-97.103247,2,1191.880694,0,0,1,0,0
351.128842,17,1677.769599,0,0,1,0,0
-121.070456,6,1680.415224,0,0,1,0,0
531.045761,24,1695.77278,0,0,1,0,0
328.888918,1,1696.458713,0,0,1,0,0
337.846563,1,1697.737375,0,0,1,0,0
462.559966,24,1704.614721,0,0,1,0,0
380.983252,21,1710.488437,0,0,1,0,0
328.778864,1,1710.971811,0,0,0,0,1
328.859287,1,1711.793598,1,0,0,0,0
337.997291,1,1712.376536,0,0,0,0,1
71.951722,11,1722.337404,0,0,1,0,0
-62.084776,7,1946.249234,0,0,1,0,0
328.859287,1,1947.204696,1,0,0,0,0
1003.393209,51,1967.249402,0,0,1,0,0
531.857948,28,2045.738736,0,0,1,0,0
660.827914,10,2517.485566,0,0,0,0,1
328.863408,1,2518.431877,0,0,0,0,1
639.06157,10,2524.317573,0,0,0,0,1
321.129458,1,2526.354891,0,0,1,0,0
474.080344,22,2590.952258,0,0,1,0,0
328.826743,1,2591.723356,0,0,0,0,1
337.852828,1,2592.581702,0,0,1,0,0
433.747896,21,2601.731631,0,0,1,0,0
328.82862,1,2602.385877,0,0,0,0,1
-120.734267,4,2730.156497,0,0,1,0,0
328.99729,1,2731.039051,0,0,0,0,1
730.925033,32,2749.407712,1,0,0,0,0
328.778864,1,2750.11658,0,0,0,0,1
308.8659,15,3287.962046,0,0,1,0,0
328.99729,1,3288.621259,0,0,0,0,1
337.88892,1,3289.10248,0,0,1,0,0
328.90969,1,3291.235568,0,0,1,0,0
328.881733,1,3293.771293,0,0,1,0,0
-133.30983,4,3432.629574,0,0,1,0,0
328.920203,1,3434.861022,0,0,0,0,1
328.90969,1,3436.844357,0,0,1,0,0
-126.388465,1,3437.685364,0,0,1,0,0
-123.73862,6,3440.009173,0,0,1,0,0
832.628073,39,3455.782026,0,0,1,0,0
328.826743,1,3456.504834,0,0,0,0,1
345.763755,17,3476.960772,0,0,1,0,0
328.93954,1,3477.690072,0,0,0,0,1
359.809549,18,3544.252696,0,0,1,0,0
328.99729,1,3544.959191,0,0,0,0,1
328.99729,1,3545.53993,0,0,0,0,1
-157.952166,4,3816.633351,0,0,1,0,0
328.859288,1,3818.017864,1,0,0,0,0
328.99729,1,3818.46766,0,0,0,0,1
328.778864,1,3819.246831,0,0,0,0,1
328.826743,1,3819.921893,0,0,0,0,1
128.037592,8,3976.883913,0,0,1,0,0
13.626241,9,3979.098014,0,0,1,0,0
322.246388,16,3986.300471,0,0,1,0,0
766.129503,33,3998.477466,1,0,0,0,0
954.780994,41,4032.099262,0,0,1,0,0
57.690822,11,4114.952586,0,0,1,0,0
337.931,1,4115.613639,0,0,0,0,1
328.93954,1,4116.110594,0,0,0,0,1
337.778864,1,4116.63307,0,0,0,0,1
145.801174,13,4160.880481,0,0,1,0,0
328.90969,1,4162.987209,0,0,1,0,0
382.600562,22,4173.269565,0,0,1,0,0
328.826743,1,4173.981174,0,0,0,0,1
-33.214453,7,4194.738897,0,0,1,0,0
212.86654,13,4268.202062,0,0,1,0,0
328.931002,1,4268.937344,0,0,0,0,1
1133.208897,50,4343.857101,0,0,1,0,0
328.846563,1,4345.252931,0,0,1,0,0
328.931002,1,4345.853742,0,0,0,0,1
442.87354,22,4356.315645,0,0,1,0,0
114.865765,12,4387.000707,0,0,1,0,0
328.846563,1,4388.175534,0,0,1,0,0
328.99729,1,4388.597921,0,0,0,0,1
-129.071402,1,4390.292771,0,0,1,0,0
197.377654,15,4435.956068,0,0,1,0,0
328.931002,1,4436.730413,0,0,0,0,1
323.824309,14,4528.127856,0,0,1,0,0
-140.998948,1,4668.072909,1,0,0,0,0
334.240732,18,4670.279824,0,0,1,0,0
328.800053,1,4670.812123,0,0,0,0,1
328.881733,1,4672.793466,0,0,1,0,0
-88.10456,2,4727.312088,0,0,1,0,0
68.57279,11,4782.129952,0,0,1,0,0
328.93954,1,4782.742315,0,0,0,0,1
251.870959,14,4785.075591,0,0,1,0,0
328.863408,1,4785.676273,0,0,0,0,1
328.863408,1,4786.145895,0,0,0,0,1
202.504872,15,4791.367053,1,0,0,0,0
-132.833608,6,4889.004792,0,0,1,0,0
328.931002,1,4889.483837,0,0,0,0,1
-107.983857,2,4890.582161,1,0,0,0,0
575.545345,33,4895.541711,0,0,1,0,0
321.129458,1,4897.820781,0,0,1,0,0
631.453254,27,5021.71517,0,0,1,0,0
-18.78753,6,5023.329714,0,0,1,0,0
328.778864,1,5023.953904,0,0,0,0,1
-133.495739,4,5160.467456,0,0,1,0,0
337.931001,1,5161.358651,0,0,0,0,1
564.606532,26,5176.590021,0,0,1,0,0
321.129458,1,5178.533212,0,0,1,0,0
784.177902,36,5192.784525,0,0,1,0,0
626.016336,30,5200.296609,1,0,0,0,0
-200.226589,5,5203.281877,0,0,1,0,0
328.846563,1,5204.383092,0,0,1,0,0
-126.388102,1,5205.11826,0,0,1,0,0
328.778864,1,5205.726463,0,0,0,0,1
328.859287,1,5206.239379,1,0,0,0,0
620.555983,35,5215.602602,0,0,1,0,0
328.831123,1,5216.215558,0,0,0,0,1
337.846564,1,5217.358378,0,0,1,0,0
36.01494,10,5299.263453,0,0,1,0,0
328.93954,1,5299.883112,0,0,0,0,1
-106.527211,3,5422.920225,0,0,1,0,0
22.078937,9,5424.856392,0,0,1,0,0
573.005688,23,5428.502425,0,0,1,0,0
1163.262466,48,5466.497066,1,0,0,0,0
328.931002,1,5466.905085,0,0,0,0,1
328.778864,1,5467.428709,0,0,0,0,1
158.258209,11,6441.652839,0,0,1,0,0
337.881733,1,6444.089819,0,0,1,0,0
498.259266,22,6498.938724,0,0,1,0,0
328.82862,1,6499.646087,0,0,0,0,1
-196.973681,9,6511.815889,0,0,1,0,0
50.565446,10,6520.951771,0,0,1,0,0
127.766467,8,6825.591744,0,0,1,0,0
337.846564,1,6827.192708,0,0,1,0,0
328.831123,1,6827.666737,0,0,0,0,1
-27.586969,4,6829.467195,0,0,1,0,0
337.99729,1,6830.037999,0,0,0,0,1
328.931002,1,6830.619055,0,0,0,0,1
337.881734,1,6832.466931,0,0,1,0,0
328.846563,1,6833.556369,0,0,1,0,0
337.808929,1,6834.131826,0,0,0,0,1
337.931001,1,6834.568825,0,0,0,0,1
337.931,1,6834.974898,0,0,0,0,1
1380.680598,58,7007.337559,0,0,1,0,0
328.826743,1,7007.891636,0,0,0,0,1
263.457706,15,7474.265768,0,0,1,0,0
321.129458,1,7476.847514,0,0,1,0,0
287.317453,14,7478.766767,0,0,1,0,0
668.163207,25,7488.444505,0,0,1,0,0
-137.606449,5,7537.08917,0,0,1,0,0
556.52259,25,7543.261683,0,0,1,0,0
-137.174333,5,7591.825789,0,0,1,0,0
-123.74046,1,7594.678301,0,0,1,0,0
365.158436,19,7603.194782,0,0,1,0,0
337.778863,1,7603.648312,0,0,0,0,1
610.702933,28,7615.921455,0,0,1,0,0
550.06555,26,7626.245939,0,0,1,0,0
319.903163,15,7651.520483,0,0,1,0,0
337.846563,1,7652.733821,0,0,1,0,0
-18.706707,4,7654.325014,0,0,1,0,0
328.873836,1,7655.741445,0,0,0,0,1
-46.779304,7,7676.150383,0,0,1,0,0
613.148345,27,7683.335612,1,0,0,0,0
-142.62789,7,7961.107955,0,0,1,0,0
337.826743,1,7961.943945,0,0,0,0,1
16.986821,9,7963.742433,0,0,1,0,0
337.93954,1,7964.337135,0,0,0,0,1
756.176575,38,8216.411159,0,0,1,0,0
-199.774709,5,8218.998791,0,0,1,0,0
328.931002,1,8219.633915,0,0,0,0,1
328.773494,1,8222.223728,0,0,1,0,0
328.931002,1,8222.902404,0,0,0,0,1
328.773494,1,8225.176908,0,0,1,0,0
857.075034,46,8237.598397,1,0,0,0,0
328.82862,1,8238.101898,0,0,0,0,1
328.863408,1,8238.701262,0,0,0,0,1
340.260399,21,8247.348926,0,0,1,0,0
328.888918,1,8248.000247,0,0,1,0,0
-33.730403,7,8268.782279,0,0,1,0,0
-192.556827,8,8271.887179,0,0,1,0,0
89.800105,8,8277.108803,0,0,1,0,0
328.826743,1,8277.707054,0,0,0,0,1
328.888918,1,8278.155508,0,0,1,0,0
337.852829,1,8278.897594,0,0,1,0,0
328.863408,1,8279.527082,0,0,0,0,1
445.8901,21,8334.91149,0,0,1,0,0
-135.004496,3,8608.034911,0,0,1,0,0
-151.425024,7,8885.223278,0,0,1,0,0
-66.216258,7,9110.771156,0,0,1,0,0
-120.072135,1,9112.664926,0,0,1,0,0
321.129458,1,9114.522567,0,0,1,0,0
188.329756,13,9159.365465,0,0,1,0,0
328.859287,1,9159.945039,1,0,0,0,0
337.997289,1,9160.576731,0,0,0,0,1
582.985808,33,9172.239455,0,0,1,0,0
476.948828,22,9269.791994,0,0,1,0,0
-115.561071,2,9270.834371,0,0,1,0,0
328.82862,1,9271.420855,0,0,0,0,1
462.309371,23,9282.024565,0,0,1,0,0
202.949119,11,9332.75011,0,0,1,0,0
18.605933,9,9350.055623,0,0,1,0,0
316.739941,18,9353.426403,0,0,1,0,0
328.931002,1,9353.869788,0,0,0,0,1
328.831123,1,9354.31456,0,0,0,0,1
328.931002,1,9354.731842,0,0,0,0,1
303.927601,13,9818.298877,0,0,1,0,0
328.99729,1,9819.074408,0,0,0,0,1
-132.008297,1,9951.763971,1,0,0,0,0
328.778864,1,9952.613216,0,0,0,0,1
287.935146,13,10077.410036,0,0,1,0,0
321.129458,1,10084.59507,0,0,1,0,0
337.800053,1,10085.171269,0,0,0,0,1
337.800052,1,10085.700486,0,0,0,0,1
192.641987,15,10112.931012,0,0,1,0,0
328.93954,1,10113.721074,0,0,0,0,1
854.857604,44,10250.552042,0,0,1,0,0
-88.105063,2,10304.771666,0,0,1,0,0
307.875443,16,10307.808118,0,0,1,0,0
328.826743,1,10308.273633,0,0,0,0,1
313.393229,14,10442.020278,0,0,1,0,0
-12.975498,8,10443.739336,0,0,1,0,0
-71.624009,7,10670.661776,0,0,1,0,0
328.881733,1,10672.694052,0,0,1,0,0
328.846563,1,10673.787536,0,0,1,0,0
375.280692,19,10681.780841,0,0,1,0,0
328.888918,1,10682.242038,0,0,1,0,0
974.193193,52,10748.650867,0,0,1,0,0
328.99729,1,10749.046407,0,0,0,0,1
771.894521,35,10769.783163,0,0,1,0,0
340.260399,21,10777.959664,0,0,1,0,0
328.826743,1,10778.45503,0,0,0,0,1
328.82862,1,10778.929582,0,0,0,0,1
328.800053,1,10779.538046,0,0,0,0,1
464.030261,17,11689.676225,0,0,1,0,0
865.294352,35,11711.296589,0,0,1,0,0
202.504872,15,11716.793558,1,0,0,0,0
210.990755,10,12177.273906,0,0,1,0,0
556.17164,22,12278.532439,0,0,1,0,0
328.99729,1,12279.169437,0,0,0,0,1
911.057414,37,12649.061023,0,0,1,0,0
-197.932664,8,12651.853657,0,0,1,0,0
328.93954,1,12652.219668,0,0,0,0,1
328.778864,1,12652.810881,0,0,0,0,1
-10.785045,8,12654.181827,0,0,1,0,0
-99.095249,2,12660.027592,0,0,1,0,0
328.931002,1,12660.463048,0,0,0,0,1
560.240306,27,12698.374662,0,0,1,0,0
164.142091,11,12704.111315,0,0,1,0,0
92.1481,11,12709.549152,0,0,1,0,0
271.874172,13,12859.361964,0,0,1,0,0
-134.998929,3,13131.892618,0,0,1,0,0
-144.643424,3,13408.868845,0,0,1,0,0
-99.102127,2,13410.179079,0,0,1,0,0
360.084125,20,13415.868076,0,0,1,0,0
337.939541,1,13416.263299,0,0,0,0,1
337.426845,22,13477.311967,0,0,1,0,0
296.239789,14,13605.193082,0,0,1,0,0
328.826743,1,13605.779934,0,0,0,0,1
328.968284,1,13606.664112,0,0,0,0,1
328.991637,1,13608.828926,0,0,0,0,1
337.773494,1,13611.091494,0,0,1,0,0
328.826743,1,13611.537394,0,0,0,0,1
328.931002,1,13612.086596,0,0,0,0,1
337.931001,1,13612.473793,0,0,0,0,1
758.089342,34,13738.0099,0,0,1,0,0
328.831123,1,13738.505329,0,0,0,0,1
-126.991691,3,13849.47346,0,0,1,0,0
194.863866,10,14178.895319,0,0,1,0,0
-123.737927,1,14181.927553,0,0,1,0,0
60.211641,14,14187.382067,0,0,1,0,0
614.487715,30,14228.739963,1,0,0,0,0
195.828982,15,14255.330312,0,0,1,0,0
515.937705,24,14318.136132,1,0,0,0,0
328.99729,1,14318.501501,0,0,0,0,1
328.93954,1,14319.142287,0,0,0,0,1
897.002312,46,14333.315691,1,0,0,0,0
1329.3039,54,14563.908304,1,0,0,0,0
166.143769,15,14596.209066,0,0,1,0,0
