#{"t_start": 1771178867.8679273, "env_id": "commonroad-v1-safe"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
328.859287,1,3109.734208,1,0,0,0,0
2306.464634,79,3137.877111,0,0,1,0,0
337.93954,1,3160.277647,0,0,0,0,1
328.900903,1,3161.495588,0,0,0,0,1
509.735807,23,3256.023232,0,0,1,0,0
72.697434,9,3259.299482,0,0,1,0,0
337.945019,1,3259.912321,0,0,0,0,1
-161.659363,4,3262.381894,0,0,1,0,0
655.529956,30,3269.948604,1,0,0,0,0
682.519137,32,3283.223216,0,0,1,0,0
-186.24319,3,3287.62019,0,0,1,0,0
10.688308,9,3290.754534,0,0,1,0,0
337.881733,1,3291.336766,0,0,1,0,0
72.697434,9,3293.479503,0,0,1,0,0
328.83191,1,3294.417635,0,0,1,0,0
337.778864,1,3295.428632,0,0,0,0,1
193.250424,25,3305.01467,1,0,0,0,0
328.859287,1,3305.869652,1,0,0,0,0
-149.848916,6,3311.329921,0,0,1,0,0
328.93954,1,3311.936315,0,0,0,0,1
337.931002,1,6429.807872,0,0,0,0,1
-162.201333,1,6432.99086,1,0,0,0,0
-62.391826,3,6433.820945,0,0,1,0,0
747.674454,34,6449.373319,0,0,1,0,0
-79.835746,3,6449.924937,0,0,1,0,0
-122.435584,4,6452.672087,0,0,1,0,0
-186.283949,3,6455.417413,0,0,1,0,0
-162.201333,1,6458.338178,1,0,0,0,0
-186.283949,3,6461.351167,0,0,1,0,0
-112.257739,2,6462.645464,0,0,1,0,0
920.537262,39,6478.520972,0,0,1,0,0
498.774399,21,6484.057197,0,0,1,0,0
-150.1899,6,6487.913003,0,0,1,0,0
337.953065,1,6489.138537,0,0,0,0,1
328.93954,1,6489.569269,0,0,0,0,1
-150.1899,6,6493.498772,0,0,1,0,0
-186.283949,3,6496.608057,0,0,1,0,0
250.643498,16,6514.669495,0,0,1,0,0
250.643498,16,6532.195803,0,0,1,0,0
-114.817642,1,6533.205055,0,0,1,0,0
-189.687736,4,8801.191578,0,0,1,0,0
1147.68063,88,8826.648357,0,0,1,0,0
-128.954485,4,8831.636667,0,0,1,0,0
328.859287,1,8831.954274,1,0,0,0,0
-161.914685,4,8833.031749,0,0,1,0,0
531.279254,26,8838.779819,0,0,1,0,0
-79.835746,3,8839.100362,0,0,1,0,0
330.129458,1,8839.761935,0,0,1,0,0
-117.710498,1,8840.666335,0,0,1,0,0
337.93954,1,8841.355373,0,0,0,0,1
241.54223,15,8844.649298,0,0,1,0,0
-124.411813,4,8845.729468,0,0,1,0,0
714.591018,35,8855.190418,0,0,1,0,0
286.014226,16,8869.367342,0,0,1,0,0
-150.152388,6,8873.186911,0,0,1,0,0
328.90969,1,8873.674554,0,0,1,0,0
328.859287,1,8874.338404,1,0,0,0,0
72.302471,9,8876.415802,0,0,1,0,0
337.953065,1,8876.783184,0,0,0,0,1
234.053181,37,8881.683264,0,0,1,0,0
975.206589,48,12113.324079,0,0,1,0,0
337.863408,1,12113.814494,0,0,0,0,1
852.711745,40,12127.642155,0,0,1,0,0
796.411183,32,12134.283512,0,0,1,0,0
-150.709567,6,12138.143016,0,0,1,0,0
337.778864,1,12138.826825,0,0,0,0,1
429.497847,4,12144.828326,0,0,0,0,1
72.614711,9,12153.385624,0,0,1,0,0
337.800053,1,12153.936412,0,0,0,0,1
29.633197,10,12156.802129,0,0,1,0,0
409.80199,22,12163.269544,0,0,1,0,0
337.778864,1,12163.818371,0,0,0,0,1
490.939978,19,12179.362822,0,0,1,0,0
262.298546,14,12183.922506,0,0,1,0,0
337.863408,1,12184.518091,0,0,0,0,1
225.564895,13,12188.280595,0,0,1,0,0
337.778864,1,12188.708549,0,0,0,0,1
337.945019,1,12189.068401,0,0,0,0,1
337.93954,1,12189.422428,0,0,0,0,1
337.778864,1,12190.112784,0,0,0,0,1
-162.103491,4,14830.7448,0,0,1,0,0
337.93954,1,14831.040672,0,0,0,0,1
337.977198,1,14831.608225,0,0,0,0,1
31.873699,10,14834.126593,0,0,1,0,0
-189.812868,4,14835.817509,0,0,1,0,0
-128.118285,4,14838.654653,0,0,1,0,0
-92.136673,2,14839.446081,1,0,0,0,0
512.784253,22,14843.888916,0,0,1,0,0
-128.118285,4,14846.506632,0,0,1,0,0
280.004796,39,14851.237591,1,0,0,0,0
-162.205205,1,14854.211885,1,0,0,0,0
337.778864,1,14854.568403,0,0,0,0,1
-150.933383,6,14858.252964,0,0,1,0,0
435.869529,17,14875.204411,0,0,1,0,0
621.09518,29,14887.307503,0,0,1,0,0
429.540706,4,14893.332588,0,0,0,0,1
-124.432263,4,14894.19774,0,0,1,0,0
230.900762,13,14904.53212,0,0,1,0,0
337.863408,1,14904.983189,0,0,0,0,1
394.77702,23,14914.629293,1,0,0,0,0
236.603293,13,17971.616071,0,0,1,0,0
367.563786,17,17975.118507,0,0,1,0,0
195.62563,12,17978.370856,0,0,1,0,0
697.677397,44,17984.259375,1,0,0,0,0
236.603293,13,17994.732732,0,0,1,0,0
87.317536,31,18002.134423,0,0,1,0,0
-117.709755,1,18002.513434,0,0,1,0,0
527.993721,26,18010.450372,0,0,1,0,0
236.603293,13,18021.078504,0,0,1,0,0
301.947869,15,18027.065966,0,0,1,0,0
337.931002,1,18027.500777,0,0,0,0,1
584.368254,26,18037.899771,0,0,1,0,0
328.859287,1,18038.495641,1,0,0,0,0
16.412993,9,18047.276695,0,0,1,0,0
337.93954,1,18047.65722,0,0,0,0,1
83.371815,7,18048.3331,0,0,1,0,0
328.898365,1,18052.280799,0,0,0,0,1
337.778864,1,18052.895036,0,0,0,0,1
33.372507,10,18055.980223,0,0,1,0,0
337.945019,1,18056.363448,0,0,0,0,1
166.505143,11,20719.322021,0,0,1,0,0
337.931002,1,20719.824949,0,0,0,0,1
337.99729,1,20720.419074,0,0,0,0,1
117.203087,10,20733.200579,0,0,1,0,0
337.778864,1,20733.577979,0,0,0,0,1
