#{"t_start": 1771280712.541704, "env_id": "commonroad-v1-safe"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
478.90969,1,117.592133,0,0,1,0,0
30.622464,10,149.64193,0,0,1,0,0
297.210058,18,157.875249,0,0,1,0,0
1045.948916,39,207.532382,0,0,1,0,0
28.859287,1,237.897818,1,0,0,0,0
187.818342,15,249.730215,0,0,1,0,0
27.047693,13,252.428293,0,0,1,0,0
819.490308,35,261.479814,0,0,1,0,0
651.747425,29,267.529481,1,0,0,0,0
512.402515,24,278.469274,1,0,0,0,0
591.230172,31,284.871861,1,0,0,0,0
1171.856372,54,299.735601,0,0,1,0,0
28.931002,1,300.239782,0,0,0,0,1
1754.874186,71,334.891577,0,0,1,0,0
28.920203,1,336.837799,0,0,0,0,1
1108.839447,43,360.221368,1,0,0,0,0
28.826743,1,365.139391,0,0,0,0,1
141.752841,14,369.348894,0,0,1,0,0
28.968284,1,370.438473,0,0,0,0,1
28.826743,1,371.361001,0,0,0,0,1
28.859287,1,372.173084,1,0,0,0,0
39.39588,10,374.244199,0,0,1,0,0
1271.250671,53,399.87117,0,0,1,0,0
807.779415,43,407.656888,1,0,0,0,0
37.99729,1,408.273568,0,0,0,0,1
-124.150853,3,416.953841,0,0,1,0,0
-146.635362,6,421.548159,0,0,1,0,0
291.760117,14,443.997278,0,0,1,0,0
478.881733,1,444.768761,0,0,1,0,0
858.724504,40,465.437746,0,0,1,0,0
34.638337,2,467.456888,0,0,1,0,0
56.486676,11,472.174005,0,0,1,0,0
151.430435,11,475.054735,0,0,1,0,0
875.547634,37,483.309386,0,0,1,0,0
471.129458,1,484.06455,0,0,1,0,0
1053.694178,49,524.542874,0,0,1,0,0
37.93954,1,525.612839,0,0,0,0,1
25.988192,1,526.354792,0,0,1,0,0
28.99729,1,526.99456,0,0,0,0,1
28.800053,1,527.525996,0,0,0,0,1
28.920203,1,528.038588,0,0,0,0,1
602.846514,13,531.351128,0,0,0,0,1
-129.312562,4,535.378065,0,0,1,0,0
17.261467,1,536.278825,0,0,1,0,0
776.976618,35,563.120557,0,0,1,0,0
64.164777,13,565.917749,0,0,1,0,0
843.959016,39,596.42825,0,0,1,0,0
28.931002,1,596.940822,0,0,0,0,1
