#{"t_start": 1771008995.8714728, "env_id": "commonroad-v1-safe"}
r,l,t,is_collision,is_time_out,is_off_road,is_friction_violation,is_goal_reached
277.119587,18,50.753375,0,0,1,0,0
328.99729,1,51.680517,0,0,0,0,1
328.863408,1,52.644339,0,0,0,0,1
328.826743,1,57.339298,0,0,0,0,1
-6.846413,8,74.167486,0,0,1,0,0
11.880174,9,76.493394,0,0,1,0,0
328.826743,1,77.075544,0,0,0,0,1
982.069617,40,86.719997,1,0,0,0,0
730.283674,28,348.325733,0,0,1,0,0
141.752841,14,378.98787,0,0,1,0,0
914.456594,40,509.908399,0,0,1,0,0
254.795426,14,552.239439,0,0,1,0,0
-124.368725,5,617.276634,0,0,1,0,0
328.920203,1,620.110681,0,0,0,0,1
328.859287,1,621.179999,1,0,0,0,0
328.863408,1,625.46558,0,0,0,0,1
337.846563,1,626.698898,0,0,1,0,0
328.863408,1,627.124678,0,0,0,0,1
328.800053,1,627.587091,0,0,0,0,1
328.826743,1,628.169814,0,0,0,0,1
848.514097,38,663.31092,0,0,1,0,0
328.93954,1,664.111125,0,0,0,0,1
321.129458,1,666.089428,0,0,1,0,0
328.831123,1,666.626456,0,0,0,0,1
-140.999267,1,791.967671,1,0,0,0,0
328.99729,1,792.652964,0,0,0,0,1
946.649108,40,910.366927,0,0,1,0,0
328.99729,1,910.894171,0,0,0,0,1
1295.862868,55,1045.485689,1,0,0,0,0
-126.388347,1,1046.286085,0,0,1,0,0
328.99729,1,1046.76231,0,0,0,0,1
328.93954,1,1047.350235,0,0,0,0,1
328.93954,1,1048.037272,0,0,0,0,1
328.778864,1,1048.631977,0,0,0,0,1
116.073389,12,1054.097304,0,0,1,0,0
-132.738533,1,1057.02524,0,0,1,0,0
410.921208,28,1067.304121,0,0,1,0,0
337.931,1,1068.26069,0,0,0,0,1
-108.16604,2,1069.247148,1,0,0,0,0
530.602436,20,1567.68025,0,0,1,0,0
328.831123,1,1568.113149,0,0,0,0,1
315.915332,15,2273.975006,0,0,1,0,0
829.280324,36,2290.629503,0,0,1,0,0
337.800054,1,2291.255497,0,0,0,0,1
696.809026,26,2299.948482,0,0,1,0,0
321.129458,1,2302.074469,0,0,1,0,0
337.881733,1,2307.598063,0,0,1,0,0
327.305384,20,2314.891604,0,0,1,0,0
328.826743,1,2315.336461,0,0,0,0,1
328.826743,1,2315.775122,0,0,0,0,1
